Line#,Time,R1,G1,B1,R2,G2,B2,SELECT,CLK,LAT,OE
263,-2566840,0,0,0,0,0,0,06,1,0,0
264,-2566800,0,0,0,0,0,0,06,0,0,0
265,-2566760,0,0,0,0,0,0,06,1,0,0
266,-2566720,0,0,0,0,0,0,06,0,0,0
267,-2566680,0,0,0,0,0,0,06,1,0,0
268,-2566640,0,0,0,0,0,0,06,0,0,0
269,-2566600,0,0,0,0,0,0,06,1,0,0
270,-2566560,0,0,0,0,0,0,06,0,0,0
271,-2566520,0,0,0,0,0,0,06,1,0,0
272,-2566480,0,0,0,0,0,0,06,0,0,0
273,-2566440,0,0,0,0,0,0,06,1,0,0
274,-2566400,0,0,0,0,0,0,06,0,0,0
275,-2566360,0,0,0,0,0,0,06,1,0,0
276,-2566320,0,0,0,0,0,0,06,0,0,0
277,-2566280,0,0,0,0,0,0,06,1,0,0
278,-2566240,0,0,0,0,0,0,06,0,0,0
279,-2566200,0,0,0,0,0,0,06,1,0,0
280,-2566160,0,0,0,0,0,0,06,0,0,0
281,-2566120,0,0,0,0,0,0,06,1,0,0
282,-2566080,0,0,0,0,0,0,06,0,0,0
283,-2566040,0,0,0,0,0,0,06,1,0,0
284,-2566000,0,0,0,0,0,0,06,0,0,0
285,-2565960,0,0,0,0,0,0,06,1,0,0
286,-2565920,0,0,0,0,0,0,06,0,0,0
287,-2565880,0,0,0,0,0,0,06,1,0,0
288,-2565840,0,0,0,0,0,0,06,0,0,0
289,-2565800,0,0,0,0,0,0,06,1,0,0
290,-2565760,0,0,0,0,0,0,06,0,0,0
291,-2565720,0,0,0,0,0,0,06,1,0,0
292,-2565680,0,0,0,0,0,0,06,0,0,0
293,-2565640,0,0,0,0,0,0,06,1,0,0
294,-2565600,0,0,0,0,0,0,06,0,0,0
295,-2565560,0,0,0,0,0,0,06,1,0,0
296,-2565520,0,0,0,0,0,0,06,0,0,0
297,-2565480,0,0,0,0,0,0,06,1,0,0
298,-2565440,0,0,0,0,0,0,06,0,0,0
299,-2565400,0,0,0,0,0,0,06,1,0,0
300,-2565360,0,0,0,0,0,0,06,0,0,0
301,-2565320,0,0,0,0,0,0,06,1,0,0
302,-2565280,0,0,0,0,0,0,06,0,0,0
303,-2565240,0,0,0,0,0,0,06,1,0,0
304,-2565200,0,0,0,0,0,0,06,0,0,0
305,-2565160,0,0,0,0,0,0,06,1,0,0
306,-2565120,0,0,0,0,0,0,06,0,0,0
307,-2565080,0,0,0,0,0,0,06,1,0,0
308,-2565040,0,0,0,0,0,0,06,0,0,0
309,-2565000,0,0,0,0,0,0,06,1,0,0
310,-2564960,0,0,0,0,0,0,06,0,0,0
311,-2564920,0,0,0,0,0,0,06,1,0,0
312,-2564880,0,0,0,0,0,0,06,0,0,0
313,-2564840,0,0,0,0,0,0,06,1,0,0
314,-2564800,0,0,0,0,0,0,06,0,0,0
315,-2564760,0,0,0,0,0,0,06,1,0,0
316,-2564720,0,0,0,0,0,0,06,0,0,0
317,-2564680,0,0,0,0,0,0,06,1,0,0
318,-2564640,0,0,0,0,0,0,06,0,0,0
319,-2564600,0,0,0,0,0,0,06,1,0,0
320,-2564560,0,0,0,0,0,0,06,0,0,0
321,-2564520,0,0,0,0,0,0,06,1,0,0
322,-2564480,0,0,0,0,0,0,06,0,0,0
