Line#,Time,OE,LAT,CLK,SELECT,B2,G2,R2,B1,G1,R1
297,5590,0,1,0,01,0,1,1,0,1,1
298,5600,0,1,1,01,0,0,0,0,0,0
299,5650,0,1,0,01,0,0,0,0,0,0
300,5660,0,0,0,01,0,0,0,0,0,0
301,5680,0,0,1,01,0,0,0,0,0,0
302,5730,0,0,0,01,0,0,0,0,0,0
303,5760,0,0,1,01,0,0,0,0,0,0
304,5810,0,0,0,01,0,0,0,0,0,0
305,5840,0,0,1,01,0,0,0,0,0,0
306,5890,0,0,0,01,0,0,0,0,0,0
307,5920,0,0,1,01,0,0,0,0,0,0
308,5970,0,0,0,01,0,0,0,0,0,0
309,6000,0,0,1,01,0,0,0,0,0,0
310,6050,0,0,0,01,0,0,0,0,0,0
311,6080,0,0,1,01,0,0,0,0,0,0
312,6130,0,0,0,01,0,0,0,0,0,0
313,6160,0,0,1,01,0,0,0,0,0,0
314,6210,0,0,0,01,0,0,0,0,0,0
315,6240,0,0,1,01,0,0,0,0,0,0
316,6290,0,0,0,01,0,0,0,0,0,0
317,6320,0,0,1,01,0,0,0,0,0,0
318,6370,0,0,0,01,0,0,0,0,0,0
319,6400,0,0,1,01,0,0,0,0,0,0
320,6450,0,0,0,01,0,0,0,0,0,0
321,6480,0,0,1,01,0,0,0,0,0,0
322,6530,0,0,0,01,0,0,0,0,0,0
323,6560,0,0,1,01,0,0,0,0,0,0
324,6610,0,0,0,01,0,0,0,0,0,0
325,6640,0,0,1,01,0,0,0,0,0,0
326,6690,0,0,0,01,0,0,0,0,0,0
327,6720,0,0,1,01,0,0,0,0,0,0
328,6770,0,0,0,01,0,0,0,0,0,0
329,6800,0,0,1,01,0,0,0,0,0,0
330,6850,0,0,0,01,0,0,0,0,0,0
331,6880,0,0,1,01,0,0,0,0,0,0
332,6930,0,0,0,01,0,0,0,0,0,0
333,6940,0,0,0,01,1,0,0,1,0,0
334,6950,0,0,0,01,1,1,0,1,1,0
335,6960,0,0,1,01,1,1,1,1,1,1
336,7010,0,0,0,01,1,1,1,1,1,1
337,7040,0,0,1,01,1,1,1,1,1,1
338,7090,0,0,0,01,1,1,1,1,1,1
339,7110,0,0,0,01,0,1,1,0,1,1
340,7120,0,0,1,01,0,0,0,0,0,0
341,7170,0,0,0,01,0,0,0,0,0,0
342,7180,0,0,0,01,1,0,0,1,0,0
343,7190,0,0,0,01,1,1,0,1,1,0
344,7200,0,0,1,01,1,1,1,1,1,1
345,7250,0,0,0,01,1,1,1,1,1,1
346,7270,0,0,0,01,0,1,1,0,1,1
347,7280,0,0,1,01,0,0,0,0,0,0
348,7330,0,0,0,01,0,0,0,0,0,0
349,7340,0,0,0,01,1,0,0,1,0,0
350,7350,0,0,0,01,1,1,0,1,1,0
351,7360,0,0,1,01,1,1,1,1,1,1
352,7410,0,0,0,01,1,1,1,1,1,1
353,7430,0,0,0,01,0,1,1,0,1,1
354,7440,0,0,1,01,0,0,0,0,0,0
355,7490,0,0,0,01,0,0,0,0,0,0
356,7500,0,0,0,01,1,0,0,1,0,0
357,7510,0,0,0,01,1,1,0,1,1,0
358,7520,0,0,1,01,1,1,1,1,1,1
359,7570,0,0,0,01,1,1,1,1,1,1
